type	value	source	score	tags
ip	114.143.30.50	Boletines	50	malware_ip
ip	114.207.112.19	Boletines	50	malware_ip
ip	114.216.243.88	Maltiverse	60	malware_ip
ip	114.218.164.63	Maltiverse	60	malware_ip
ip	114.226.131.235	Maltiverse	60	malware_ip
ip	114.228.189.226	Maltiverse	60	malware_ip
ip	114.239.180.173	Maltiverse	60	malware_ip
ip	114.80.108.158	Boletines	50	malware_ip
ip	114.84.149.8	Boletines	50	malware_ip
ip	1.14137E+11	Boletines	50	malware_ip
ip	115.133.243.6	Boletines	50	malware_ip
ip	115.186.139.104	Boletines	50	malware_ip
ip	115.193.27.42	Maltiverse	60	malware_ip
ip	115.227.49.108	Boletines	50	malware_ip
ip	115.230.125.103	Boletines	50	malware_ip
ip	115.236.19.35	Boletines	50	malware_ip
ip	115.236.5.58	Boletines	50	malware_ip
ip	115.48.131.244	Maltiverse	60	malware_ip
ip	115.48.136.13	Maltiverse	60	malware_ip
ip	115.48.144.175	Maltiverse	60	malware_ip
ip	115.48.144.62	Maltiverse	60	malware_ip
ip	115.48.150.51	Maltiverse	60	malware_ip
ip	115.48.151.134	Maltiverse	60	malware_ip
ip	115.48.153.152	Maltiverse	60	malware_ip
ip	115.48.161.240	Maltiverse	60	malware_ip
ip	115.48.49.199	Maltiverse	60	malware_ip
ip	115.48.52.150	Maltiverse	60	malware_ip
ip	115.49.114.75	Maltiverse	60	malware_ip
ip	115.49.19.221	Maltiverse	60	malware_ip
ip	115.49.200.92	Maltiverse	60	malware_ip
ip	115.49.203.148	Maltiverse	60	malware_ip
ip	115.49.28.5	Maltiverse	60	malware_ip
ip	115.49.29.152	Maltiverse	60	malware_ip
ip	115.49.3.126	Maltiverse	60	malware_ip
ip	115.49.30.244	Maltiverse	60	malware_ip
ip	115.49.31.179	Maltiverse	60	malware_ip
ip	115.49.72.209	Maltiverse	60	malware_ip
ip	115.49.92.48	Maltiverse	60	malware_ip
ip	115.50.102.172	Maltiverse	60	malware_ip
ip	115.50.152.200	Maltiverse	60	malware_ip
ip	115.50.172.164	Maltiverse	60	malware_ip
ip	115.50.175.61	Maltiverse	60	malware_ip
ip	115.50.186.40	Maltiverse	60	malware_ip
ip	115.50.20.163	Maltiverse	60	malware_ip
ip	115.50.201.101	Maltiverse	60	malware_ip
ip	115.50.210.60	Maltiverse	60	malware_ip
ip	115.50.217.155	Maltiverse	60	malware_ip
ip	115.50.219.92	Maltiverse	60	malware_ip
ip	115.50.32.176	Maltiverse	60	malware_ip
ip	115.50.43.164	Maltiverse	60	malware_ip
ip	115.50.52.165	Maltiverse	60	malware_ip
ip	115.50.54.30	Maltiverse	60	malware_ip
ip	115.50.60.254	Maltiverse	60	malware_ip
ip	115.50.65.232	Maltiverse	60	malware_ip
ip	115.50.7.152	Maltiverse	60	malware_ip
ip	115.50.99.71	Maltiverse	60	malware_ip
ip	115.51.108.46	Maltiverse	60	malware_ip
ip	115.51.120.106	Maltiverse	60	malware_ip
ip	115.51.59.193	Maltiverse	60	malware_ip
ip	115.52.18.44	Maltiverse	60	malware_ip
ip	115.52.19.224	Maltiverse	60	malware_ip
ip	115.52.241.65	Maltiverse	60	malware_ip
ip	115.52.242.172	Maltiverse	60	malware_ip
ip	115.52.242.180	Maltiverse	60	malware_ip
ip	115.52.245.101	Maltiverse	60	malware_ip
ip	115.52.66.167	Maltiverse	60	malware_ip
ip	115.52.68.32	Maltiverse	60	malware_ip
ip	115.53.192.101	Maltiverse	60	malware_ip
ip	115.53.193.187	Maltiverse	60	malware_ip
ip	115.53.194.183	Maltiverse	60	malware_ip
ip	115.53.199.227	Maltiverse	60	malware_ip
ip	115.53.203.220	Maltiverse	60	malware_ip
